level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,21.89,0.06
paper,4,4,60,KeyGen,30.21,0.04
paper,4,4,60,Sign,235.47,5.08
paper,4,4,60,Verify,63.84,0.43
paper,4,4,60,PreSign,241.7,6.95
paper,4,4,60,PreVerify,66.21,0.78
paper,4,4,60,Adapt,68.3,0.49
paper,4,4,60,Ext,25.42,0.11
L2,4,4,39,Setup,22.31,0.15
L2,4,4,39,KeyGen,27.93,0.23
L2,4,4,39,Sign,270.92,12.17
L2,4,4,39,Verify,61.94,1.03
L2,4,4,39,PreSign,292.45,14.76
L2,4,4,39,PreVerify,65.46,0.87
L2,4,4,39,Adapt,65.66,0.78
L2,4,4,39,Ext,24.67,1.51
L3,6,5,49,Setup,43.05,0.72
L3,6,5,49,KeyGen,44.4,1.41
L3,6,5,49,Sign,403.18,17.25
L3,6,5,49,Verify,91.57,0.51
L3,6,5,49,PreSign,412.19,9.88
L3,6,5,49,PreVerify,96.24,1.57
L3,6,5,49,Adapt,98.32,0.87
L3,6,5,49,Ext,35.92,0.48
L5,8,7,60,Setup,79.34,1.74
L5,8,7,60,KeyGen,67.73,0.65
L5,8,7,60,Sign,492.25,10.9
L5,8,7,60,Verify,134.4,3.78
L5,8,7,60,PreSign,508.13,19.85
L5,8,7,60,PreVerify,141.48,5.17
L5,8,7,60,Adapt,145.36,3.31
L5,8,7,60,Ext,58.0,0.19
