level,component,mean_us,sd_us
paper,A-product / commitment w,24.513,2.127
paper,challenge hash,23.263,0.052
paper,c*r one response poly,2.517,0.029
paper,c*r all LAS_M polys,22.072,0.474
paper,norm check,0.959,0.004
paper,w + Y,2.096,0.008
paper,z_hat + r',2.169,0.023
paper,c*t all LAS_N pk polys,17.722,0.067
paper,KeyGen sample r,4.164,0.017
paper,Ext s = z - z_hat,2.164,0.041
paper,Ext A*s,22.936,0.275
paper,Ext t'==A*s check,0.222,0.003
L2,A-product / commitment w,20.485,0.021
L2,challenge hash,23.57,0.142
L2,c*r one response poly,2.221,0.017
L2,c*r all LAS_M polys,19.21,0.22
L2,norm check,0.967,0.008
L2,w + Y,2.108,0.008
L2,z_hat + r',2.168,0.014
L2,c*t all LAS_N pk polys,17.368,0.893
L2,KeyGen sample r,4.346,0.02
L2,Ext s = z - z_hat,2.222,0.008
L2,Ext A*s,20.993,0.325
L2,Ext t'==A*s check,0.263,0.058
L3,A-product / commitment w,32.476,0.244
L3,challenge hash,36.349,0.978
L3,c*r one response poly,2.312,0.059
L3,c*r all LAS_M polys,26.759,0.326
L3,norm check,1.335,0.052
L3,w + Y,3.478,0.054
L3,z_hat + r',2.954,0.012
L3,c*t all LAS_N pk polys,23.886,0.055
L3,KeyGen sample r,4.643,0.031
L3,Ext s = z - z_hat,2.965,0.012
L3,Ext A*s,32.376,0.192
L3,Ext t'==A*s check,0.337,0.004
L5,A-product / commitment w,54.4,0.374
L5,challenge hash,47.287,0.31
L5,c*r one response poly,2.496,0.032
L5,c*r all LAS_M polys,39.013,0.029
L5,norm check,1.794,0.022
L5,w + Y,4.209,0.007
L5,z_hat + r',4.141,0.074
L5,c*t all LAS_N pk polys,33.883,0.05
L5,KeyGen sample r,6.293,0.023
L5,Ext s = z - z_hat,4.04,0.016
L5,Ext A*s,53.2,0.292
L5,Ext t'==A*s check,0.463,0.024
