level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,47.12,2.05
paper,4,4,60,KeyGen,58.95,1.68
paper,4,4,60,Sign,470.59,23.6
paper,4,4,60,Verify,125.64,2.7
paper,4,4,60,PreSign,495.56,20.9
paper,4,4,60,PreVerify,133.58,6.26
paper,4,4,60,Adapt,136.84,6.98
paper,4,4,60,Ext,47.09,0.68
L2,4,4,39,Setup,45.95,0.75
L2,4,4,39,KeyGen,61.66,0.84
L2,4,4,39,Sign,570.15,19.63
L2,4,4,39,Verify,130.66,3.01
L2,4,4,39,PreSign,607.69,34.57
L2,4,4,39,PreVerify,134.59,1.76
L2,4,4,39,Adapt,144.43,6.62
L2,4,4,39,Ext,55.63,4.18
L3,6,5,49,Setup,94.01,10.86
L3,6,5,49,KeyGen,91.58,2.0
L3,6,5,49,Sign,852.41,24.94
L3,6,5,49,Verify,199.49,5.66
L3,6,5,49,PreSign,866.33,40.87
L3,6,5,49,PreVerify,209.76,9.44
L3,6,5,49,Adapt,217.47,4.65
L3,6,5,49,Ext,84.23,6.32
L5,8,7,60,Setup,169.06,6.16
L5,8,7,60,KeyGen,132.78,7.33
L5,8,7,60,Sign,991.43,42.73
L5,8,7,60,Verify,265.24,12.09
L5,8,7,60,PreSign,1049.03,50.69
L5,8,7,60,PreVerify,278.47,9.5
L5,8,7,60,Adapt,289.95,8.44
L5,8,7,60,Ext,117.3,5.72
