level,component,mean_us,sd_us
paper,A-product / commitment w,42.092,0.752
paper,challenge hash,57.844,11.903
paper,c*r one response poly,4.539,0.143
paper,c*r all LAS_M polys,38.882,0.517
paper,norm check,1.93,0.036
paper,w + Y,4.291,0.019
paper,z_hat + r',4.413,0.014
paper,c*t all LAS_N pk polys,33.097,1.108
paper,KeyGen sample r,8.666,0.088
paper,Ext s = z - z_hat,5.354,1.152
paper,Ext A*s,42.67,1.167
paper,Ext t'==A*s check,0.456,0.01
L2,A-product / commitment w,52.342,7.926
L2,challenge hash,50.062,1.229
L2,c*r one response poly,4.824,0.088
L2,c*r all LAS_M polys,44.392,3.598
L2,norm check,2.565,0.869
L2,w + Y,4.803,0.12
L2,z_hat + r',4.78,0.364
L2,c*t all LAS_N pk polys,36.216,2.231
L2,KeyGen sample r,9.597,1.388
L2,Ext s = z - z_hat,4.434,0.079
L2,Ext A*s,47.451,2.922
L2,Ext t'==A*s check,0.566,0.169
L3,A-product / commitment w,70.592,2.185
L3,challenge hash,77.477,3.439
L3,c*r one response poly,4.703,0.044
L3,c*r all LAS_M polys,54.876,0.689
L3,norm check,2.625,0.047
L3,w + Y,8.458,0.048
L3,z_hat + r',8.759,0.203
L3,c*t all LAS_N pk polys,49.592,0.537
L3,KeyGen sample r,10.402,0.876
L3,Ext s = z - z_hat,8.413,0.114
L3,Ext A*s,73.7,9.52
L3,Ext t'==A*s check,0.68,0.012
L5,A-product / commitment w,99.504,5.569
L5,challenge hash,104.943,16.532
L5,c*r one response poly,5.015,0.674
L5,c*r all LAS_M polys,72.731,1.264
L5,norm check,3.65,0.041
L5,w + Y,8.661,0.057
L5,z_hat + r',8.441,0.168
L5,c*t all LAS_N pk polys,64.579,2.18
L5,KeyGen sample r,13.507,0.788
L5,Ext s = z - z_hat,9.242,0.372
L5,Ext A*s,101.763,4.268
L5,Ext t'==A*s check,1.638,0.171
