level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,495.56,470.59,5.3
paper,PreVerify vs Verify,133.58,125.64,6.3
paper,Adapt vs Verify,136.84,125.64,8.9
paper,Ext (separate),47.09,,
L2,PreSign vs Sign,607.69,570.15,6.6
L2,PreVerify vs Verify,134.59,130.66,3.0
L2,Adapt vs Verify,144.43,130.66,10.5
L2,Ext (separate),55.63,,
L3,PreSign vs Sign,866.33,852.41,1.6
L3,PreVerify vs Verify,209.76,199.49,5.1
L3,Adapt vs Verify,217.47,199.49,9.0
L3,Ext (separate),84.23,,
L5,PreSign vs Sign,1049.03,991.43,5.8
L5,PreVerify vs Verify,278.47,265.24,5.0
L5,Adapt vs Verify,289.95,265.24,9.3
L5,Ext (separate),117.3,,
