level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,23.53,0.13
paper,4,4,60,KeyGen,29.79,0.07
paper,4,4,60,Sign,244.7,7.69
paper,4,4,60,Verify,65.37,0.12
paper,4,4,60,PreSign,251.77,4.53
paper,4,4,60,PreVerify,64.68,0.14
paper,4,4,60,Adapt,67.08,0.11
paper,4,4,60,Ext,23.88,0.04
L2,4,4,39,Setup,23.87,1.32
L2,4,4,39,KeyGen,31.35,0.06
L2,4,4,39,Sign,281.06,9.79
L2,4,4,39,Verify,65.48,0.1
L2,4,4,39,PreSign,299.43,8.68
L2,4,4,39,PreVerify,67.97,0.14
L2,4,4,39,Adapt,70.36,0.15
L2,4,4,39,Ext,25.64,0.04
L3,6,5,49,Setup,44.51,0.1
L3,6,5,49,KeyGen,48.7,1.2
L3,6,5,49,Sign,446.86,14.98
L3,6,5,49,Verify,100.04,0.67
L3,6,5,49,PreSign,478.64,33.68
L3,6,5,49,PreVerify,104.33,0.84
L3,6,5,49,Adapt,108.78,0.28
L3,6,5,49,Ext,40.55,0.08
L5,8,7,60,Setup,84.45,2.15
L5,8,7,60,KeyGen,64.13,0.13
L5,8,7,60,Sign,491.8,31.97
L5,8,7,60,Verify,135.34,0.15
L5,8,7,60,PreSign,503.32,13.03
L5,8,7,60,PreVerify,135.73,3.29
L5,8,7,60,Adapt,143.11,4.66
L5,8,7,60,Ext,54.3,0.35
