level,component,mean_us,sd_us
paper,A-product / commitment w,52.493,0.558
paper,challenge hash,58.562,0.398
paper,c*r one response poly,12.844,0.147
paper,c*r all LAS_M polys,101.733,0.384
paper,norm check,2.285,0.045
paper,w + Y,5.642,0.063
paper,z_hat + r',5.3,0.047
paper,c*t all LAS_N pk polys,50.744,0.219
paper,KeyGen sample r,8.328,0.083
paper,Ext s = z - z_hat,5.297,0.088
paper,Ext A*s,52.183,0.545
paper,Ext t'==A*s check,0.588,0.047
L2,A-product / commitment w,51.712,0.183
L2,challenge hash,59.681,0.953
L2,c*r one response poly,12.743,0.118
L2,c*r all LAS_M polys,104.846,2.999
L2,norm check,2.376,0.033
L2,w + Y,5.814,0.067
L2,z_hat + r',6.415,0.058
L2,c*t all LAS_N pk polys,51.2,0.718
L2,KeyGen sample r,8.975,0.325
L2,Ext s = z - z_hat,6.953,0.195
L2,Ext A*s,53.723,1.065
L2,Ext t'==A*s check,0.583,0.049
L3,A-product / commitment w,86.309,1.772
L3,challenge hash,96.252,3.258
L3,c*r one response poly,15.219,1.193
L3,c*r all LAS_M polys,145.87,2.345
L3,norm check,3.213,0.066
L3,w + Y,10.386,0.03
L3,z_hat + r',11.034,0.17
L3,c*t all LAS_N pk polys,80.092,2.754
L3,KeyGen sample r,12.9,1.011
L3,Ext s = z - z_hat,10.672,0.789
L3,Ext A*s,85.087,0.517
L3,Ext t'==A*s check,0.848,0.023
L5,A-product / commitment w,128.067,2.08
L5,challenge hash,123.553,1.102
L5,c*r one response poly,13.242,0.159
L5,c*r all LAS_M polys,197.575,4.291
L5,norm check,4.738,0.306
L5,w + Y,15.028,0.382
L5,z_hat + r',14.482,0.153
L5,c*t all LAS_N pk polys,115.383,10.129
L5,KeyGen sample r,16.805,0.84
L5,Ext s = z - z_hat,14.169,0.175
L5,Ext A*s,133.066,5.967
L5,Ext t'==A*s check,1.167,0.114
