level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,57.86,2.31
paper,4,4,60,KeyGen,76.45,4.72
paper,4,4,60,Sign,733.04,26.68
paper,4,4,60,Verify,176.63,1.74
paper,4,4,60,PreSign,788.4,29.61
paper,4,4,60,PreVerify,185.65,1.45
paper,4,4,60,Adapt,195.98,9.62
paper,4,4,60,Ext / Extract,60.33,1.6
L2,4,4,39,Setup,56.36,1.27
L2,4,4,39,KeyGen,72.58,1.0
L2,4,4,39,Sign,819.89,40.27
L2,4,4,39,Verify,178.76,5.41
L2,4,4,39,PreSign,864.37,29.25
L2,4,4,39,PreVerify,189.79,5.03
L2,4,4,39,Adapt,189.19,2.73
L2,4,4,39,Ext / Extract,60.33,1.47
L3,6,5,49,Setup,112.83,8.24
L3,6,5,49,KeyGen,109.13,5.04
L3,6,5,49,Sign,1248.43,55.55
L3,6,5,49,Verify,271.97,3.3
L3,6,5,49,PreSign,1332.64,39.93
L3,6,5,49,PreVerify,277.59,3.48
L3,6,5,49,Adapt,293.57,4.47
L3,6,5,49,Ext / Extract,97.51,3.56
L5,8,7,60,Setup,202.97,6.51
L5,8,7,60,KeyGen,162.86,5.87
L5,8,7,60,Sign,1531.66,57.54
L5,8,7,60,Verify,394.23,23.88
L5,8,7,60,PreSign,1579.85,32.77
L5,8,7,60,PreVerify,393.8,17.99
L5,8,7,60,Adapt,410.72,11.02
L5,8,7,60,Ext / Extract,142.82,1.51
