level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,788.4,733.04,7.6
paper,PreVerify vs Verify,185.65,176.63,5.1
paper,Adapt vs Verify,195.98,176.63,11.0
paper,Ext / Extract (separate),60.33,,
L2,PreSign vs Sign,864.37,819.89,5.4
L2,PreVerify vs Verify,189.79,178.76,6.2
L2,Adapt vs Verify,189.19,178.76,5.8
L2,Ext / Extract (separate),60.33,,
L3,PreSign vs Sign,1332.64,1248.43,6.7
L3,PreVerify vs Verify,277.59,271.97,2.1
L3,Adapt vs Verify,293.57,271.97,7.9
L3,Ext / Extract (separate),97.51,,
L5,PreSign vs Sign,1579.85,1531.66,3.1
L5,PreVerify vs Verify,393.8,394.23,-0.1
L5,Adapt vs Verify,410.72,394.23,4.2
L5,Ext / Extract (separate),142.82,,
