level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,51.57,6.64
paper,4,4,60,KeyGen,62.04,2.69
paper,4,4,60,Sign,632.39,26.11
paper,4,4,60,Verify,149.97,3.26
paper,4,4,60,PreSign,653.04,23.23
paper,4,4,60,PreVerify,156.75,5.34
paper,4,4,60,Adapt,161.31,5.15
paper,4,4,60,Ext / Extract,54.51,8.28
L2,4,4,39,Setup,47.46,2.08
L2,4,4,39,KeyGen,62.32,2.45
L2,4,4,39,Sign,710.19,30.7
L2,4,4,39,Verify,149.31,5.24
L2,4,4,39,PreSign,740.72,28.43
L2,4,4,39,PreVerify,155.7,7.16
L2,4,4,39,Adapt,160.63,8.87
L2,4,4,39,Ext / Extract,51.77,3.28
L3,6,5,49,Setup,96.4,14.96
L3,6,5,49,KeyGen,93.87,5.3
L3,6,5,49,Sign,1066.18,29.53
L3,6,5,49,Verify,232.88,7.9
L3,6,5,49,PreSign,1116.52,35.54
L3,6,5,49,PreVerify,240.12,8.3
L3,6,5,49,Adapt,248.66,3.85
L3,6,5,49,Ext / Extract,82.29,2.33
L5,8,7,60,Setup,172.94,8.28
L5,8,7,60,KeyGen,135.33,4.43
L5,8,7,60,Sign,1314.56,30.19
L5,8,7,60,Verify,323.87,7.22
L5,8,7,60,PreSign,1339.69,40.29
L5,8,7,60,PreVerify,336.52,11.02
L5,8,7,60,Adapt,346.86,7.3
L5,8,7,60,Ext / Extract,121.51,2.09
