level,component,mean_us,sd_us
paper,A-product / commitment w,22.778,0.052
paper,challenge hash,23.052,0.109
paper,c*r one response poly,5.527,0.016
paper,c*r all LAS_M polys,45.421,2.739
paper,norm check,1.061,0.156
paper,w + Y,2.136,0.065
paper,z_hat + r',2.155,0.015
paper,c*t all LAS_N pk polys,22.285,0.148
paper,KeyGen sample r,3.462,0.026
paper,Ext s = z - z_hat,2.149,0.013
paper,Ext A*s,22.791,0.118
paper,Ext t'==A*s check,0.224,0.008
L2,A-product / commitment w,21.945,0.164
L2,challenge hash,24.07,0.07
L2,c*r one response poly,5.213,0.011
L2,c*r all LAS_M polys,41.846,0.03
L2,norm check,0.951,0.039
L2,w + Y,2.333,0.039
L2,z_hat + r',2.145,0.017
L2,c*t all LAS_N pk polys,20.922,0.09
L2,KeyGen sample r,3.436,0.074
L2,Ext s = z - z_hat,2.154,0.028
L2,Ext A*s,21.94,0.059
L2,Ext t'==A*s check,0.454,0.035
L3,A-product / commitment w,35.094,0.1
L3,challenge hash,34.714,0.053
L3,c*r one response poly,5.594,0.024
L3,c*r all LAS_M polys,62.318,0.364
L3,norm check,1.309,0.009
L3,w + Y,3.165,0.017
L3,z_hat + r',2.984,0.018
L3,c*t all LAS_N pk polys,34.046,0.389
L3,KeyGen sample r,4.563,0.017
L3,Ext s = z - z_hat,2.945,0.015
L3,Ext A*s,34.983,0.496
L3,Ext t'==A*s check,0.36,0.073
L5,A-product / commitment w,48.559,0.054
L5,challenge hash,46.822,0.042
L5,c*r one response poly,5.158,0.017
L5,c*r all LAS_M polys,77.683,0.532
L5,norm check,1.928,0.146
L5,w + Y,5.165,0.421
L5,z_hat + r',4.043,0.013
L5,c*t all LAS_N pk polys,43.923,3.1
L5,KeyGen sample r,6.551,0.11
L5,Ext s = z - z_hat,4.142,0.077
L5,Ext A*s,51.828,2.072
L5,Ext t'==A*s check,0.46,0.006
