level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,306.14,302.13,1.3
paper,PreVerify vs Verify,73.07,70.99,2.9
paper,Adapt vs Verify,75.11,70.99,5.8
paper,Ext (separate),25.13,,
L2,PreSign vs Sign,339.16,323.35,4.9
L2,PreVerify vs Verify,71.52,69.19,3.4
L2,Adapt vs Verify,74.44,69.19,7.6
L2,Ext (separate),24.33,,
L3,PreSign vs Sign,514.14,493.15,4.3
L3,PreVerify vs Verify,109.7,106.9,2.6
L3,Adapt vs Verify,112.59,106.9,5.3
L3,Ext (separate),38.24,,
L5,PreSign vs Sign,607.3,588.08,3.3
L5,PreVerify vs Verify,148.79,142.19,4.6
L5,Adapt vs Verify,150.72,142.19,6.0
L5,Ext (separate),52.42,,
