level,component,mean_us,sd_us
paper,A-product / commitment w,23.275,0.044
paper,challenge hash,26.98,0.039
paper,c*r one response poly,2.514,0.024
paper,c*r all LAS_M polys,21.754,0.04
paper,norm check,1.081,0.012
paper,w + Y,2.419,0.009
paper,z_hat + r',2.497,0.018
paper,c*t all LAS_N pk polys,18.215,0.033
paper,KeyGen sample r,4.812,0.02
paper,Ext s = z - z_hat,2.59,0.019
paper,Ext A*s,23.255,0.033
paper,Ext t'==A*s check,0.261,0.016
L2,A-product / commitment w,25.223,0.074
L2,challenge hash,27.588,0.119
L2,c*r one response poly,2.662,0.021
L2,c*r all LAS_M polys,23.019,0.06
L2,norm check,1.081,0.018
L2,w + Y,2.668,0.014
L2,z_hat + r',2.485,0.014
L2,c*t all LAS_N pk polys,18.975,0.045
L2,KeyGen sample r,4.821,0.022
L2,Ext s = z - z_hat,2.494,0.031
L2,Ext A*s,25.24,0.099
L2,Ext t'==A*s check,0.265,0.01
L3,A-product / commitment w,39.004,0.24
L3,challenge hash,42.291,0.35
L3,c*r one response poly,2.679,0.016
L3,c*r all LAS_M polys,31.395,0.171
L3,norm check,1.503,0.042
L3,w + Y,4.83,0.037
L3,z_hat + r',4.914,0.044
L3,c*t all LAS_N pk polys,27.887,0.054
L3,KeyGen sample r,5.519,0.063
L3,Ext s = z - z_hat,4.718,0.016
L3,Ext A*s,38.427,0.112
L3,Ext t'==A*s check,0.379,0.004
L5,A-product / commitment w,53.225,0.355
L5,challenge hash,52.699,0.173
L5,c*r one response poly,2.476,0.02
L5,c*r all LAS_M polys,38.81,0.042
L5,norm check,1.993,0.014
L5,w + Y,4.817,0.024
L5,z_hat + r',4.616,0.012
L5,c*t all LAS_N pk polys,34.228,0.07
L5,KeyGen sample r,7.105,0.069
L5,Ext s = z - z_hat,4.8,0.008
L5,Ext A*s,53.847,1.24
L5,Ext t'==A*s check,0.551,0.035
