level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,25.43,0.12
paper,4,4,60,KeyGen,32.32,0.19
paper,4,4,60,Sign,257.05,9.48
paper,4,4,60,Verify,70.01,2.12
paper,4,4,60,PreSign,264.55,7.84
paper,4,4,60,PreVerify,71.57,0.16
paper,4,4,60,Adapt,73.65,0.34
paper,4,4,60,Ext,25.97,0.06
L2,4,4,39,Setup,25.52,0.13
L2,4,4,39,KeyGen,34.15,0.09
L2,4,4,39,Sign,313.9,13.66
L2,4,4,39,Verify,74.09,0.73
L2,4,4,39,PreSign,328.44,19.34
L2,4,4,39,PreVerify,75.21,0.63
L2,4,4,39,Adapt,77.84,0.18
L2,4,4,39,Ext,28.36,0.11
L3,6,5,49,Setup,47.91,0.41
L3,6,5,49,KeyGen,50.89,0.89
L3,6,5,49,Sign,489.16,17.23
L3,6,5,49,Verify,110.7,3.23
L3,6,5,49,PreSign,521.6,31.82
L3,6,5,49,PreVerify,115.12,2.11
L3,6,5,49,Adapt,118.3,1.58
L3,6,5,49,Ext,43.67,0.7
L5,8,7,60,Setup,87.96,0.36
L5,8,7,60,KeyGen,69.0,0.1
L5,8,7,60,Sign,517.79,15.26
L5,8,7,60,Verify,139.27,0.37
L5,8,7,60,PreSign,539.57,22.02
L5,8,7,60,PreVerify,146.35,2.45
L5,8,7,60,Adapt,150.77,1.61
L5,8,7,60,Ext,59.08,0.77
