level,component,mean_us,sd_us
paper,A-product / commitment w,54.479,0.052
paper,challenge hash,61.487,0.118
paper,c*r one response poly,13.505,0.066
paper,c*r all LAS_M polys,108.318,0.592
paper,norm check,2.43,0.017
paper,w + Y,5.975,0.035
paper,z_hat + r',5.599,0.047
paper,c*t all LAS_N pk polys,53.988,0.117
paper,KeyGen sample r,8.829,0.089
paper,Ext s = z - z_hat,5.678,0.055
paper,Ext A*s,55.167,0.51
paper,Ext t'==A*s check,0.58,0.017
L2,A-product / commitment w,54.46,0.799
L2,challenge hash,61.564,0.366
L2,c*r one response poly,13.253,0.076
L2,c*r all LAS_M polys,105.918,0.457
L2,norm check,2.465,0.017
L2,w + Y,6.049,0.089
L2,z_hat + r',6.655,0.033
L2,c*t all LAS_N pk polys,53.619,0.581
L2,KeyGen sample r,8.591,0.088
L2,Ext s = z - z_hat,6.902,0.076
L2,Ext A*s,54.101,0.194
L2,Ext t'==A*s check,0.573,0.01
L3,A-product / commitment w,86.71,0.578
L3,challenge hash,94.837,0.325
L3,c*r one response poly,13.349,0.058
L3,c*r all LAS_M polys,147.524,0.599
L3,norm check,3.289,0.061
L3,w + Y,10.79,0.097
L3,z_hat + r',10.91,0.022
L3,c*t all LAS_N pk polys,80.297,0.279
L3,KeyGen sample r,11.801,0.207
L3,Ext s = z - z_hat,10.589,0.05
L3,Ext A*s,86.111,0.134
L3,Ext t'==A*s check,0.859,0.019
L5,A-product / commitment w,131.052,0.53
L5,challenge hash,125.545,0.453
L5,c*r one response poly,13.449,0.152
L5,c*r all LAS_M polys,202.564,2.556
L5,norm check,4.546,0.037
L5,w + Y,14.344,0.081
L5,z_hat + r',15.103,0.056
L5,c*t all LAS_N pk polys,107.448,0.954
L5,KeyGen sample r,16.215,0.107
L5,Ext s = z - z_hat,14.392,0.075
L5,Ext A*s,130.584,0.662
L5,Ext t'==A*s check,1.151,0.022
