level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,57.76,0.78
paper,4,4,60,KeyGen,74.04,0.65
paper,4,4,60,Sign,748.39,25.19
paper,4,4,60,Verify,179.16,1.61
paper,4,4,60,PreSign,781.95,18.07
paper,4,4,60,PreVerify,185.69,2.25
paper,4,4,60,Adapt,191.12,0.97
paper,4,4,60,Ext,60.92,0.29
L2,4,4,39,Setup,57.08,0.28
L2,4,4,39,KeyGen,73.44,1.82
L2,4,4,39,Sign,841.26,20.76
L2,4,4,39,Verify,178.22,1.42
L2,4,4,39,PreSign,868.68,23.31
L2,4,4,39,PreVerify,183.32,0.92
L2,4,4,39,Adapt,190.15,0.74
L2,4,4,39,Ext,62.04,0.53
L3,6,5,49,Setup,114.31,10.25
L3,6,5,49,KeyGen,114.46,5.11
L3,6,5,49,Sign,1269.65,28.39
L3,6,5,49,Verify,279.55,7.06
L3,6,5,49,PreSign,1355.29,61.7
L3,6,5,49,PreVerify,288.11,1.79
L3,6,5,49,Adapt,302.11,4.88
L3,6,5,49,Ext,100.68,2.51
L5,8,7,60,Setup,200.02,0.74
L5,8,7,60,KeyGen,163.33,0.91
L5,8,7,60,Sign,1570.31,46.4
L5,8,7,60,Verify,384.61,1.96
L5,8,7,60,PreSign,1616.36,28.54
L5,8,7,60,PreVerify,406.2,11.81
L5,8,7,60,Adapt,411.75,0.95
L5,8,7,60,Ext,147.25,1.18
