level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,781.95,748.39,4.5
paper,PreVerify vs Verify,185.69,179.16,3.6
paper,Adapt vs Verify,191.12,179.16,6.7
paper,Ext (separate),60.92,,
L2,PreSign vs Sign,868.68,841.26,3.3
L2,PreVerify vs Verify,183.32,178.22,2.9
L2,Adapt vs Verify,190.15,178.22,6.7
L2,Ext (separate),62.04,,
L3,PreSign vs Sign,1355.29,1269.65,6.7
L3,PreVerify vs Verify,288.11,279.55,3.1
L3,Adapt vs Verify,302.11,279.55,8.1
L3,Ext (separate),100.68,,
L5,PreSign vs Sign,1616.36,1570.31,2.9
L5,PreVerify vs Verify,406.2,384.61,5.6
L5,Adapt vs Verify,411.75,384.61,7.1
L5,Ext (separate),147.25,,
