level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,289.52,280.1,3.4
paper,PreVerify vs Verify,75.26,75.5,-0.3
paper,Adapt vs Verify,77.62,75.5,2.8
paper,Ext (separate),28.87,,
L2,PreSign vs Sign,314.6,296.23,6.2
L2,PreVerify vs Verify,69.83,69.15,1.0
L2,Adapt vs Verify,72.17,69.15,4.4
L2,Ext (separate),25.83,,
L3,PreSign vs Sign,472.17,461.71,2.3
L3,PreVerify vs Verify,107.5,105.79,1.6
L3,Adapt vs Verify,111.02,105.79,4.9
L3,Ext (separate),40.53,,
L5,PreSign vs Sign,561.04,555.74,1.0
L5,PreVerify vs Verify,156.19,152.2,2.6
L5,Adapt vs Verify,160.75,152.2,5.6
L5,Ext (separate),66.0,,
