level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,25.16,0.06
paper,4,4,60,KeyGen,34.65,0.08
paper,4,4,60,Sign,280.1,4.16
paper,4,4,60,Verify,75.5,3.27
paper,4,4,60,PreSign,289.52,5.3
paper,4,4,60,PreVerify,75.26,0.22
paper,4,4,60,Adapt,77.62,0.08
paper,4,4,60,Ext,28.87,0.01
L2,4,4,39,Setup,26.13,0.94
L2,4,4,39,KeyGen,31.77,0.12
L2,4,4,39,Sign,296.23,5.21
L2,4,4,39,Verify,69.15,0.81
L2,4,4,39,PreSign,314.6,27.24
L2,4,4,39,PreVerify,69.83,0.2
L2,4,4,39,Adapt,72.17,0.06
L2,4,4,39,Ext,25.83,0.01
L3,6,5,49,Setup,48.07,0.86
L3,6,5,49,KeyGen,49.26,0.46
L3,6,5,49,Sign,461.71,26.56
L3,6,5,49,Verify,105.79,4.14
L3,6,5,49,PreSign,472.17,17.5
L3,6,5,49,PreVerify,107.5,0.05
L3,6,5,49,Adapt,111.02,0.08
L3,6,5,49,Ext,40.53,0.41
L5,8,7,60,Setup,90.44,5.93
L5,8,7,60,KeyGen,77.26,0.26
L5,8,7,60,Sign,555.74,24.57
L5,8,7,60,Verify,152.2,0.88
L5,8,7,60,PreSign,561.04,6.79
L5,8,7,60,PreVerify,156.19,0.16
L5,8,7,60,Adapt,160.75,0.23
L5,8,7,60,Ext,66.0,0.26
