level,attempts,base_sign_calls,las_presign_calls
paper,1,714,735
paper,2,469,474
paper,3,295,284
paper,4,188,185
paper,5,134,120
paper,6,81,84
paper,7,45,45
paper,8,32,25
paper,9,16,11
paper,10,11,14
paper,11,6,5
paper,12,1,6
paper,13,7,6
paper,14,0,2
paper,15,0,1
paper,16,0,2
paper,17,1,0
paper,18,0,0
paper,19,0,0
paper,20,0,0
paper,21,0,0
paper,22,0,0
paper,23,0,1
L2,1,733,712
L2,2,426,500
L2,3,307,279
L2,4,197,193
L2,5,127,119
L2,6,76,59
L2,7,56,50
L2,8,27,35
L2,9,17,25
L2,10,13,10
L2,11,10,8
L2,12,4,2
L2,13,2,1
L2,14,2,2
L2,15,1,1
L2,16,1,0
L2,17,0,0
L2,18,1,2
L2,19,0,0
L2,20,0,2
L3,1,713,717
L3,2,469,499
L3,3,303,296
L3,4,184,191
L3,5,108,101
L3,6,93,84
L3,7,48,39
L3,8,34,27
L3,9,16,16
L3,10,14,16
L3,11,7,5
L3,12,2,3
L3,13,3,1
L3,14,2,0
L3,15,0,1
L3,16,3,1
L3,17,0,1
L3,18,1,0
L3,19,0,1
L3,20,0,0
L3,21,0,0
L3,22,0,0
L3,23,0,1
L5,1,741,705
L5,2,472,447
L5,3,283,322
L5,4,176,193
L5,5,112,125
L5,6,75,77
L5,7,60,39
L5,8,38,23
L5,9,17,26
L5,10,8,12
L5,11,7,10
L5,12,5,6
L5,13,4,5
L5,14,1,2
L5,15,1,0
L5,16,0,5
L5,17,0,1
L5,18,0,1
L5,19,0,1
