level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,22.09,0.15
paper,4,4,60,KeyGen,29.86,0.42
paper,4,4,60,Sign,295.13,6.54
paper,4,4,60,Verify,71.72,0.45
paper,4,4,60,PreSign,305.85,9.88
paper,4,4,60,PreVerify,73.28,0.11
paper,4,4,60,Adapt,75.62,0.12
paper,4,4,60,Ext,25.23,0.04
L2,4,4,39,Setup,22.26,0.07
L2,4,4,39,KeyGen,29.22,0.41
L2,4,4,39,Sign,324.73,10.9
L2,4,4,39,Verify,69.02,0.03
L2,4,4,39,PreSign,341.66,16.19
L2,4,4,39,PreVerify,71.95,0.46
L2,4,4,39,Adapt,73.88,0.43
L2,4,4,39,Ext,24.36,0.11
L3,6,5,49,Setup,42.46,0.39
L3,6,5,49,KeyGen,45.23,1.38
L3,6,5,49,Sign,500.22,20.22
L3,6,5,49,Verify,107.37,0.45
L3,6,5,49,PreSign,514.3,23.79
L3,6,5,49,PreVerify,110.45,0.26
L3,6,5,49,Adapt,114.07,1.02
L3,6,5,49,Ext,38.8,0.34
L5,8,7,60,Setup,77.72,1.01
L5,8,7,60,KeyGen,60.41,0.09
L5,8,7,60,Sign,572.83,18.83
L5,8,7,60,Verify,142.1,0.08
L5,8,7,60,PreSign,590.87,28.5
L5,8,7,60,PreVerify,146.73,0.47
L5,8,7,60,Adapt,150.77,0.15
L5,8,7,60,Ext,52.72,0.18
