level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,305.85,295.13,3.6
paper,PreVerify vs Verify,73.28,71.72,2.2
paper,Adapt vs Verify,75.62,71.72,5.4
paper,Ext (separate),25.23,,
L2,PreSign vs Sign,341.66,324.73,5.2
L2,PreVerify vs Verify,71.95,69.02,4.2
L2,Adapt vs Verify,73.88,69.02,7.0
L2,Ext (separate),24.36,,
L3,PreSign vs Sign,514.3,500.22,2.8
L3,PreVerify vs Verify,110.45,107.37,2.9
L3,Adapt vs Verify,114.07,107.37,6.2
L3,Ext (separate),38.8,,
L5,PreSign vs Sign,590.87,572.83,3.1
L5,PreVerify vs Verify,146.73,142.1,3.3
L5,Adapt vs Verify,150.77,142.1,6.1
L5,Ext (separate),52.72,,
