level,component,mean_us,sd_us
paper,A-product / commitment w,22.667,0.031
paper,challenge hash,23.194,0.031
paper,c*r one response poly,5.541,0.019
paper,c*r all LAS_M polys,44.435,0.035
paper,norm check,0.946,0.015
paper,w + Y,2.105,0.016
paper,z_hat + r',2.161,0.013
paper,c*t all LAS_N pk polys,22.215,0.055
paper,KeyGen sample r,3.355,0.016
paper,Ext s = z - z_hat,2.151,0.016
paper,Ext A*s,22.674,0.05
paper,Ext t'==A*s check,0.219,0.002
L2,A-product / commitment w,21.88,0.048
L2,challenge hash,23.661,0.069
L2,c*r one response poly,5.203,0.02
L2,c*r all LAS_M polys,41.719,0.109
L2,norm check,0.968,0.016
L2,w + Y,2.312,0.011
L2,z_hat + r',2.162,0.009
L2,c*t all LAS_N pk polys,20.942,0.127
L2,KeyGen sample r,3.379,0.02
L2,Ext s = z - z_hat,2.156,0.008
L2,Ext A*s,21.863,0.033
L2,Ext t'==A*s check,0.424,0.005
L3,A-product / commitment w,34.654,0.082
L3,challenge hash,34.281,0.045
L3,c*r one response poly,5.528,0.019
L3,c*r all LAS_M polys,61.322,0.443
L3,norm check,1.317,0.03
L3,w + Y,3.166,0.011
L3,z_hat + r',2.961,0.007
L3,c*t all LAS_N pk polys,33.372,0.132
L3,KeyGen sample r,4.548,0.032
L3,Ext s = z - z_hat,2.942,0.019
L3,Ext A*s,34.948,0.172
L3,Ext t'==A*s check,0.34,0.013
L5,A-product / commitment w,48.034,0.148
L5,challenge hash,46.764,0.184
L5,c*r one response poly,5.133,0.026
L5,c*r all LAS_M polys,76.805,0.04
L5,norm check,1.74,0.017
L5,w + Y,4.585,0.015
L5,z_hat + r',4.02,0.019
L5,c*t all LAS_N pk polys,40.96,0.037
L5,KeyGen sample r,6.166,0.028
L5,Ext s = z - z_hat,4.02,0.018
L5,Ext A*s,48.098,0.043
L5,Ext t'==A*s check,0.443,0.009
