level,attempts,base_sign_calls,las_presign_calls
paper,1,701,727
paper,2,468,465
paper,3,286,273
paper,4,194,197
paper,5,123,112
paper,6,93,77
paper,7,54,57
paper,8,28,38
paper,9,22,21
paper,10,13,15
paper,11,2,8
paper,12,6,1
paper,13,3,6
paper,14,2,0
paper,15,4,1
paper,16,1,0
paper,17,0,1
paper,18,0,0
paper,19,0,1
L2,1,732,710
L2,2,464,452
L2,3,270,285
L2,4,203,204
L2,5,128,132
L2,6,75,77
L2,7,49,51
L2,8,27,32
L2,9,14,22
L2,10,16,15
L2,11,8,9
L2,12,5,3
L2,13,1,3
L2,14,2,0
L2,15,2,2
L2,16,1,2
L2,17,2,1
L2,18,0,0
L2,19,1,0
L3,1,738,730
L3,2,512,429
L3,3,285,291
L3,4,173,191
L3,5,92,140
L3,6,75,79
L3,7,45,43
L3,8,23,37
L3,9,27,23
L3,10,10,14
L3,11,10,9
L3,12,3,6
L3,13,2,4
L3,14,0,0
L3,15,1,1
L3,16,1,1
L3,17,0,1
L3,18,0,0
L3,19,1,1
L3,20,2,0
L5,1,735,725
L5,2,426,442
L5,3,323,329
L5,4,174,187
L5,5,128,111
L5,6,78,80
L5,7,54,48
L5,8,31,28
L5,9,16,19
L5,10,12,8
L5,11,8,7
L5,12,6,6
L5,13,3,6
L5,14,3,2
L5,15,1,2
L5,16,1,0
L5,17,1,0
