level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,23.88,0.2
paper,4,4,60,KeyGen,34.45,3.4
paper,4,4,60,Sign,250.36,6.33
paper,4,4,60,Verify,68.05,1.82
paper,4,4,60,PreSign,267.1,7.23
paper,4,4,60,PreVerify,69.24,0.26
paper,4,4,60,Adapt,71.35,0.19
paper,4,4,60,Ext,26.53,0.02
L2,4,4,39,Setup,23.83,0.3
L2,4,4,39,KeyGen,29.71,0.73
L2,4,4,39,Sign,274.12,4.19
L2,4,4,39,Verify,61.91,0.19
L2,4,4,39,PreSign,284.22,4.71
L2,4,4,39,PreVerify,64.09,0.04
L2,4,4,39,Adapt,66.3,0.03
L2,4,4,39,Ext,23.71,0.02
L3,6,5,49,Setup,47.01,5.27
L3,6,5,49,KeyGen,45.89,1.91
L3,6,5,49,Sign,417.16,10.52
L3,6,5,49,Verify,95.26,0.46
L3,6,5,49,PreSign,424.47,5.53
L3,6,5,49,PreVerify,102.31,1.82
L3,6,5,49,Adapt,102.58,0.98
L3,6,5,49,Ext,37.22,0.13
L5,8,7,60,Setup,84.78,5.37
L5,8,7,60,KeyGen,70.64,0.05
L5,8,7,60,Sign,508.07,13.99
L5,8,7,60,Verify,137.9,0.35
L5,8,7,60,PreSign,517.23,10.23
L5,8,7,60,PreVerify,142.3,0.05
L5,8,7,60,Adapt,146.64,0.17
L5,8,7,60,Ext,60.07,0.03
