level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,61.64,5.72
paper,4,4,60,KeyGen,81.55,0.42
paper,4,4,60,Sign,628.7,17.24
paper,4,4,60,Verify,168.47,2.42
paper,4,4,60,PreSign,661.44,18.19
paper,4,4,60,PreVerify,174.49,2.61
paper,4,4,60,Adapt,182.24,2.61
paper,4,4,60,Ext,66.35,0.44
L2,4,4,39,Setup,58.49,0.94
L2,4,4,39,KeyGen,72.46,0.28
L2,4,4,39,Sign,697.93,35.17
L2,4,4,39,Verify,155.22,0.66
L2,4,4,39,PreSign,701.82,29.02
L2,4,4,39,PreVerify,161.5,0.56
L2,4,4,39,Adapt,166.93,0.96
L2,4,4,39,Ext,59.46,0.2
L3,6,5,49,Setup,108.18,0.38
L3,6,5,49,KeyGen,112.27,0.32
L3,6,5,49,Sign,1084.71,42.49
L3,6,5,49,Verify,241.59,3.94
L3,6,5,49,PreSign,1092.65,14.26
L3,6,5,49,PreVerify,247.81,1.44
L3,6,5,49,Adapt,254.2,0.49
L3,6,5,49,Ext,92.6,0.38
L5,8,7,60,Setup,210.67,3.98
L5,8,7,60,KeyGen,185.5,2.08
L5,8,7,60,Sign,1302.34,52.66
L5,8,7,60,Verify,351.65,3.94
L5,8,7,60,PreSign,1332.94,64.78
L5,8,7,60,PreVerify,364.94,3.92
L5,8,7,60,Adapt,370.06,2.15
L5,8,7,60,Ext,156.65,4.1
