level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,661.44,628.7,5.2
paper,PreVerify vs Verify,174.49,168.47,3.6
paper,Adapt vs Verify,182.24,168.47,8.2
paper,Ext (separate),66.35,,
L2,PreSign vs Sign,701.82,697.93,0.6
L2,PreVerify vs Verify,161.5,155.22,4.0
L2,Adapt vs Verify,166.93,155.22,7.5
L2,Ext (separate),59.46,,
L3,PreSign vs Sign,1092.65,1084.71,0.7
L3,PreVerify vs Verify,247.81,241.59,2.6
L3,Adapt vs Verify,254.2,241.59,5.2
L3,Ext (separate),92.6,,
L5,PreSign vs Sign,1332.94,1302.34,2.3
L5,PreVerify vs Verify,364.94,351.65,3.8
L5,Adapt vs Verify,370.06,351.65,5.2
L5,Ext (separate),156.65,,
