level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,59.03,4.58
paper,4,4,60,KeyGen,75.24,3.0
paper,4,4,60,Sign,742.6,30.73
paper,4,4,60,Verify,186.99,9.35
paper,4,4,60,PreSign,785.84,47.23
paper,4,4,60,PreVerify,184.17,4.04
paper,4,4,60,Adapt,189.11,3.21
paper,4,4,60,Ext / Extract,60.9,1.39
L2,4,4,39,Setup,61.55,3.65
L2,4,4,39,KeyGen,81.23,1.92
L2,4,4,39,Sign,916.05,45.73
L2,4,4,39,Verify,199.67,10.58
L2,4,4,39,PreSign,962.31,30.4
L2,4,4,39,PreVerify,205.96,4.46
L2,4,4,39,Adapt,211.91,4.36
L2,4,4,39,Ext / Extract,71.39,2.6
L3,6,5,49,Setup,107.36,0.96
L3,6,5,49,KeyGen,109.89,2.41
L3,6,5,49,Sign,1274.51,30.85
L3,6,5,49,Verify,270.95,3.27
L3,6,5,49,PreSign,1308.15,30.81
L3,6,5,49,PreVerify,279.48,3.57
L3,6,5,49,Adapt,288.02,4.2
L3,6,5,49,Ext / Extract,92.34,1.06
L5,8,7,60,Setup,158.07,51.17
L5,8,7,60,KeyGen,209.03,29.3
L5,8,7,60,Sign,1609.72,53.14
L5,8,7,60,Verify,392.28,2.24
L5,8,7,60,PreSign,1679.12,52.06
L5,8,7,60,PreVerify,405.09,5.12
L5,8,7,60,Adapt,419.09,5.34
L5,8,7,60,Ext / Extract,151.03,1.91
