level,component,bytes,pct_of_signature
paper,pk = t,2944,63.01
paper,sk = r,512,10.96
paper,Y = t',2944,63.01
paper,r',512,10.96
paper,c,64,1.37
paper,z,4608,98.63
paper,z_hat,4608,98.63
paper,"signature (c,z)",4672,100.0
paper,"pre-signature (c,z_hat)",4672,100.0
paper,"final adapted sig (c,z)",4672,100.0
L2,pk = t,2944,63.01
L2,sk = r,512,10.96
L2,Y = t',2944,63.01
L2,r',512,10.96
L2,c,64,1.37
L2,z,4608,98.63
L2,z_hat,4608,98.63
L2,"signature (c,z)",4672,100.0
L2,"pre-signature (c,z_hat)",4672,100.0
L2,"final adapted sig (c,z)",4672,100.0
L3,pk = t,4416,65.4
L3,sk = r,704,10.43
L3,Y = t',4416,65.4
L3,r',704,10.43
L3,c,64,0.95
L3,z,6688,99.05
L3,z_hat,6688,99.05
L3,"signature (c,z)",6752,100.0
L3,"pre-signature (c,z_hat)",6752,100.0
L3,"final adapted sig (c,z)",6752,100.0
L5,pk = t,5888,64.11
L5,sk = r,960,10.45
L5,Y = t',5888,64.11
L5,r',960,10.45
L5,c,64,0.7
L5,z,9120,99.3
L5,z_hat,9120,99.3
L5,"signature (c,z)",9184,100.0
L5,"pre-signature (c,z_hat)",9184,100.0
L5,"final adapted sig (c,z)",9184,100.0
