level,pair,adaptor_us,base_us,overhead_pct
paper,PreSign vs Sign,327.69,319.99,2.4
paper,PreVerify vs Verify,75.93,74.62,1.8
paper,Adapt vs Verify,82.06,74.62,10.0
paper,Ext (separate),26.18,,
L2,PreSign vs Sign,352.51,350.73,0.5
L2,PreVerify vs Verify,74.4,72.97,2.0
L2,Adapt vs Verify,76.12,72.97,4.3
L2,Ext (separate),24.98,,
L3,PreSign vs Sign,548.62,519.57,5.6
L3,PreVerify vs Verify,115.16,114.65,0.4
L3,Adapt vs Verify,119.05,114.65,3.8
L3,Ext (separate),40.91,,
L5,PreSign vs Sign,638.48,612.01,4.3
L5,PreVerify vs Verify,156.21,152.94,2.1
L5,Adapt vs Verify,157.46,152.94,3.0
L5,Ext (separate),55.17,,
