level,component,mean_us,sd_us
paper,A-product / commitment w,23.702,0.365
paper,challenge hash,23.959,0.093
paper,c*r one response poly,5.758,0.032
paper,c*r all LAS_M polys,46.007,0.221
paper,norm check,0.973,0.01
paper,w + Y,2.162,0.007
paper,z_hat + r',2.288,0.082
paper,c*t all LAS_N pk polys,22.949,0.092
paper,KeyGen sample r,3.464,0.02
paper,Ext s = z - z_hat,2.21,0.005
paper,Ext A*s,23.426,0.058
paper,Ext t'==A*s check,0.268,0.076
L2,A-product / commitment w,22.447,0.049
L2,challenge hash,24.312,0.097
L2,c*r one response poly,5.333,0.018
L2,c*r all LAS_M polys,43.228,0.177
L2,norm check,0.981,0.007
L2,w + Y,2.372,0.02
L2,z_hat + r',2.219,0.008
L2,c*t all LAS_N pk polys,21.625,0.132
L2,KeyGen sample r,3.489,0.022
L2,Ext s = z - z_hat,2.214,0.014
L2,Ext A*s,22.664,0.13
L2,Ext t'==A*s check,0.449,0.013
L3,A-product / commitment w,37.911,0.592
L3,challenge hash,37.129,0.344
L3,c*r one response poly,6.198,0.302
L3,c*r all LAS_M polys,68.007,2.415
L3,norm check,1.358,0.029
L3,w + Y,3.275,0.014
L3,z_hat + r',3.112,0.029
L3,c*t all LAS_N pk polys,34.992,0.479
L3,KeyGen sample r,4.746,0.038
L3,Ext s = z - z_hat,3.129,0.096
L3,Ext A*s,36.071,0.133
L3,Ext t'==A*s check,0.34,0.004
L5,A-product / commitment w,50.145,0.575
L5,challenge hash,48.151,0.198
L5,c*r one response poly,5.314,0.014
L5,c*r all LAS_M polys,80.856,1.521
L5,norm check,1.797,0.011
L5,w + Y,4.69,0.014
L5,z_hat + r',4.136,0.03
L5,c*t all LAS_N pk polys,42.556,0.054
L5,KeyGen sample r,6.373,0.016
L5,Ext s = z - z_hat,4.121,0.012
L5,Ext A*s,49.858,0.218
L5,Ext t'==A*s check,0.466,0.009
