level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,22.99,0.35
paper,4,4,60,KeyGen,30.36,0.05
paper,4,4,60,Sign,319.99,15.45
paper,4,4,60,Verify,74.62,0.53
paper,4,4,60,PreSign,327.69,5.7
paper,4,4,60,PreVerify,75.93,0.78
paper,4,4,60,Adapt,82.06,7.29
paper,4,4,60,Ext,26.18,0.08
L2,4,4,39,Setup,23.66,0.44
L2,4,4,39,KeyGen,29.9,0.12
L2,4,4,39,Sign,350.73,8.28
L2,4,4,39,Verify,72.97,0.91
L2,4,4,39,PreSign,352.51,11.58
L2,4,4,39,PreVerify,74.4,0.5
L2,4,4,39,Adapt,76.12,0.19
L2,4,4,39,Ext,24.98,0.15
L3,6,5,49,Setup,42.52,0.33
L3,6,5,49,KeyGen,45.23,0.17
L3,6,5,49,Sign,519.57,21.37
L3,6,5,49,Verify,114.65,1.39
L3,6,5,49,PreSign,548.62,30.87
L3,6,5,49,PreVerify,115.16,1.89
L3,6,5,49,Adapt,119.05,1.54
L3,6,5,49,Ext,40.91,0.52
L5,8,7,60,Setup,79.37,0.17
L5,8,7,60,KeyGen,63.1,0.44
L5,8,7,60,Sign,612.01,14.3
L5,8,7,60,Verify,152.94,5.73
L5,8,7,60,PreSign,638.48,34.71
L5,8,7,60,PreVerify,156.21,4.1
L5,8,7,60,Adapt,157.46,0.97
L5,8,7,60,Ext,55.17,0.39
