level,n,ell,kappa,operation,mean_us,sd_us
paper,4,4,60,Setup,57.22,0.43
paper,4,4,60,KeyGen,79.64,0.66
paper,4,4,60,Sign,638.11,34.6
paper,4,4,60,Verify,170.49,6.25
paper,4,4,60,PreSign,637.38,17.89
paper,4,4,60,PreVerify,170.3,0.26
paper,4,4,60,Adapt,176.55,1.04
paper,4,4,60,Ext,65.76,0.38
L2,4,4,39,Setup,56.96,0.27
L2,4,4,39,KeyGen,72.21,0.23
L2,4,4,39,Sign,669.28,28.87
L2,4,4,39,Verify,152.67,0.21
L2,4,4,39,PreSign,723.64,38.27
L2,4,4,39,PreVerify,160.32,1.51
L2,4,4,39,Adapt,169.67,5.68
L2,4,4,39,Ext,59.91,1.12
L3,6,5,49,Setup,107.99,1.41
L3,6,5,49,KeyGen,112.42,0.87
L3,6,5,49,Sign,1034.31,15.84
L3,6,5,49,Verify,239.53,2.8
L3,6,5,49,PreSign,1069.6,64.11
L3,6,5,49,PreVerify,250.95,5.34
L3,6,5,49,Adapt,255.66,1.72
L3,6,5,49,Ext,92.72,0.76
L5,8,7,60,Setup,200.82,2.35
L5,8,7,60,KeyGen,178.24,3.5
L5,8,7,60,Sign,1232.7,46.27
L5,8,7,60,Verify,346.46,3.65
L5,8,7,60,PreSign,1280.25,30.05
L5,8,7,60,PreVerify,356.4,4.09
L5,8,7,60,Adapt,367.99,5.71
L5,8,7,60,Ext,153.28,4.31
