level,attempts,base_sign_calls,las_presign_calls
paper,1,666,713
paper,2,524,457
paper,3,318,295
paper,4,188,202
paper,5,106,136
paper,6,71,63
paper,7,43,48
paper,8,38,26
paper,9,19,15
paper,10,10,19
paper,11,8,7
paper,12,2,7
paper,13,4,3
paper,14,1,4
paper,15,1,3
paper,16,0,0
paper,17,0,2
paper,18,0,0
paper,19,0,0
paper,20,0,0
paper,21,0,0
paper,22,0,0
paper,23,1,0
L2,1,786,683
L2,2,453,493
L2,3,290,311
L2,4,187,197
L2,5,107,116
L2,6,60,69
L2,7,39,49
L2,8,32,30
L2,9,16,25
L2,10,10,8
L2,11,5,8
L2,12,6,5
L2,13,4,2
L2,14,3,1
L2,15,0,1
L2,16,2,1
L2,17,0,0
L2,18,0,0
L2,19,0,0
L2,20,0,1
L3,1,705,742
L3,2,483,458
L3,3,318,283
L3,4,186,196
L3,5,121,115
L3,6,66,67
L3,7,44,58
L3,8,20,21
L3,9,19,27
L3,10,17,14
L3,11,7,9
L3,12,6,1
L3,13,2,3
L3,14,4,2
L3,15,0,1
L3,16,1,2
L3,17,1,1
L5,1,741,695
L5,2,448,477
L5,3,286,287
L5,4,196,204
L5,5,115,137
L5,6,79,73
L5,7,61,45
L5,8,30,27
L5,9,19,29
L5,10,11,6
L5,11,6,5
L5,12,6,4
L5,13,1,4
L5,14,0,3
L5,15,0,2
L5,16,0,0
L5,17,0,2
L5,18,0,0
L5,19,0,0
L5,20,0,0
L5,21,0,0
L5,22,1,0
